,0
0,0.012799905684016124
1,0.2813892644826121
2,0.4873653811992114
3,0.8151013843959136
4,0.9512688855528584
5,3.128960405573272
6,3.4220247155504127
7,4.060037823884256
8,4.37170685218966
9,5.035143883323922
10,5.643820396600604
11,6.0944911172427725
12,6.835411885049227
13,6.999855612294956
14,7.086400766407933
15,7.211445227411063
16,7.390220816511762
17,7.583187472105928
18,8.152666501783862
19,8.743143975489536
20,8.775601358880207
21,8.87664447393844
22,8.917088878160717
23,9.401509767320539
24,9.480647514545998
25,9.665045774845623
26,10.419465832145075
27,10.48835789305959
28,10.641491497184862
29,10.898892816456916
30,11.310579685333025
31,11.388759939392287
32,11.766653772366688
33,11.890281174259867
34,12.087383675205016
35,12.132528624758415
36,12.161348803182126
37,12.204590133504063
38,12.461645363721892
39,12.632403058499957
40,12.764390140280009
41,12.785235981577506
42,13.092490206463227
43,13.31436802101027
44,13.684830202376338
45,14.063192695411892
46,14.321945015602866
47,15.141006674873786
48,15.143585727364473
49,15.283768399160001
50,15.326805771808727
51,15.405991858019451
52,15.605956772743232
53,16.385058059519693
54,16.385788423310164
55,16.46549580213633
56,16.55373070184829
57,16.687370792913235
58,16.827182845015507
59,16.87334915796488
60,17.00105277235649
61,17.008640465952887
62,17.14438265454735
63,17.281665532475756
64,17.332981642332964
65,17.407934719351132
66,17.977677090739075
67,18.00846258089248
68,18.313632436965843
69,18.339077210619756
70,18.33948579365236
71,18.843211365085615
72,18.978912547937
73,19.054010715260087
74,19.151885912360765
75,21.765346582726718
76,22.101258310912804
77,22.513214263104466
78,22.70128864132936
79,22.887172001718273
80,23.055498321949557
81,23.33080054437837
82,23.428325968351484
83,23.462568399853907
84,23.796362916569887
85,23.79720631082301
86,23.908439926304826
87,25.199470947682876
88,25.496073067814464
89,26.188020639378585
90,26.20694759640602
91,26.681193409601086
92,26.81322336143805
93,26.82948856000133
94,27.215436082351108
95,27.28501901633943
96,27.59975388831489
97,27.607284061063165
98,27.63849609506434
99,27.858853513234482
100,27.97047393143752
101,28.001485990345806
102,28.04258554989577
103,28.045866977800635
104,28.049625493112256
105,28.05843854327809
106,28.179242114615363
107,28.652017286249468
108,28.92268936224019
109,28.94956239144941
110,28.969689206448628
111,28.976646025573817
112,28.98506859807784
113,29.04978215781723
114,29.392441346690784
115,29.39482729692061
116,29.505559180732423
117,29.781062529402057
118,30.06761617491539
119,30.20988399741221
120,30.590389365249358
121,30.59215097290099
122,31.10712104377456
123,31.413316428328976
124,31.55813794879517
125,32.08285702791945
126,33.18890102983584
127,33.277524874231226
128,33.437335477022636
129,33.87660798984508
130,34.286694778353365
131,34.30238883058825
132,34.32588527355641
133,34.55103828433299
134,34.662502398212574
135,34.88012893971075
136,35.05316237607484
137,35.135709149387175
138,35.315145922923406
139,35.84874727562204
140,36.13958255886195
141,36.153388083498335
142,37.09862998806764
143,38.193464928724595
144,38.669910325630994
145,39.26708005573127
146,39.533652225057175
147,39.708880242518866
148,40.200323465669115
149,40.33377271548258
150,40.70042465117744
151,40.77380435976489
152,40.836869220486605
153,40.84124733125945
154,40.97623774127765
155,41.08122115669588
156,41.108991015224774
157,42.49752957233768
158,43.311389731708076
159,44.09202932393957
160,44.393100809293486
161,44.57184019789607
162,44.65759993153043
163,44.764363134633896
164,44.92102460598756
165,45.37830048709717
166,45.50694121923404
167,45.87880545566095
168,45.92146111398037
169,47.13562658005164
170,48.50920501369414
171,49.75874153556302
172,52.888936287300204
173,54.07576277043168
174,54.558045513872145
175,55.09722288627903
176,55.18280275114905
177,55.51769499222343
178,58.80994666826605
179,59.53716806856887
180,59.73596835456106
181,60.75357544467807
182,61.50077709211077
183,61.8288316831016
184,62.0206711093108
185,62.968977537216425
186,64.60985592745735
187,65.5975080847511
188,90.17937222368704
189,91.13517288634506
190,91.39795196834369
191,91.9914356870879
192,92.11472944503328
193,92.45521214121186
194,92.67752208897659
195,93.19386930521765
196,93.21365858350988
197,93.31812535678894
198,93.80406252351356
199,93.98479143710121
200,94.02850677634987
201,94.15174943415713
202,94.26252949891727
203,94.35724468484209
204,94.59354752801363
205,94.92309809159815
206,95.1061378101433
207,95.24352342744615
208,95.48296928059092
209,95.55569485377892
210,95.63570836045264
211,96.86593253418772
212,97.1738880016858
213,97.47508350525656
214,97.87627480833092
215,97.98552887381784
216,98.04885787032404
217,98.14020271181722
218,98.15726588514865
219,98.71030103724176
220,98.97996551697992
221,99.00570528797743
222,99.09383976526979
223,99.1588712424218
224,99.91814012074106
